location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Afghanistan,2,0.0,1.0,1.0,0.0,0.0
Afghanistan,3,0.022988505747126436,175.0,174.0,4.0,4.0
Afghanistan,4,0.030737704918032786,2127.0,1952.0,64.0,60.0
Afghanistan,5,0.014830670438039905,15208.0,13081.0,258.0,194.0
Afghanistan,6,0.030308607890054604,31507.0,16299.0,752.0,494.0
Afghanistan,7,0.10314075222954634,36665.0,5158.0,1284.0,532.0
Afghanistan,8,0.07965194109772424,38159.0,1494.0,1403.0,119.0
Afghanistan,9,0.05139765554553652,39268.0,1109.0,1460.0,57.0
Afghanistan,10,0.03616133518776078,41425.0,2157.0,1538.0,78.0
Afghanistan,11,0.0530006186842648,46274.0,4849.0,1795.0,257.0
Afghanistan,12,0.0753998476770754,51526.0,5252.0,2191.0,396.0
Africa,2,0.0,3.0,3.0,0.0,0.0
Africa,3,0.034614053305642094,5781.0,5778.0,200.0,200.0
Africa,4,0.043491447288608515,38753.0,32972.0,1634.0,1434.0
Africa,5,0.0240060850045452,146559.0,107806.0,4222.0,2588.0
Africa,6,0.022930843610407908,404901.0,258342.0,10146.0,5924.0
Africa,7,0.01822703128374801,928080.0,523179.0,19682.0,9536.0
Africa,8,0.03125048202248924,1252235.0,324155.0,29812.0,10130.0
Africa,9,0.026343056160208968,1481935.0,229700.0,35863.0,6051.0
Africa,10,0.02302834232174449,1785474.0,303539.0,42853.0,6990.0
Africa,11,0.023502696419432735,2174323.0,388849.0,51992.0,9139.0
Africa,12,0.022991251177201195,2760459.0,586136.0,65468.0,13476.0
Albania,2,0.0,0.0,0.0,0.0,0.0
Albania,3,0.06172839506172839,243.0,243.0,15.0,15.0
Albania,4,0.03018867924528302,773.0,530.0,31.0,16.0
Albania,5,0.005494505494505495,1137.0,364.0,33.0,2.0
Albania,6,0.02074391988555079,2535.0,1398.0,62.0,29.0
Albania,7,0.03465888361911711,5276.0,2741.0,157.0,95.0
Albania,8,0.029974038234599952,9513.0,4237.0,284.0,127.0
Albania,9,0.024903288201160542,13649.0,4136.0,387.0,103.0
Albania,10,0.0168834763354553,20875.0,7226.0,509.0,122.0
Albania,11,0.017391806783382445,38182.0,17307.0,810.0,301.0
Albania,12,0.018426542167477897,58316.0,20134.0,1181.0,371.0
Algeria,2,0.0,1.0,1.0,0.0,0.0
Algeria,3,0.06153846153846154,716.0,715.0,44.0,44.0
Algeria,4,0.12340425531914893,4006.0,3290.0,450.0,406.0
Algeria,5,0.03767631774313289,9394.0,5388.0,653.0,203.0
Algeria,6,0.0573897629071571,13907.0,4513.0,912.0,259.0
Algeria,7,0.018074846849032572,30394.0,16487.0,1210.0,298.0
Algeria,8,0.02127659574468085,44494.0,14100.0,1510.0,300.0
Algeria,9,0.03212052302444571,51530.0,7036.0,1736.0,226.0
Algeria,10,0.035558328134747345,57942.0,6412.0,1964.0,228.0
Algeria,11,0.018489923585540642,83199.0,25257.0,2431.0,467.0
Algeria,12,0.019803790140759246,99610.0,16411.0,2756.0,325.0
Andorra,3,0.031914893617021274,376.0,376.0,12.0,12.0
Andorra,4,0.08130081300813008,745.0,369.0,42.0,30.0
Andorra,5,0.47368421052631576,764.0,19.0,51.0,9.0
Andorra,6,0.01098901098901099,855.0,91.0,52.0,1.0
Andorra,7,0.0,925.0,70.0,52.0,0.0
Andorra,8,0.00398406374501992,1176.0,251.0,53.0,1.0
Andorra,9,0.0,2050.0,874.0,53.0,0.0
Andorra,10,0.008130081300813009,4756.0,2706.0,75.0,22.0
Andorra,11,0.0005027652086475615,6745.0,1989.0,76.0,1.0
Andorra,12,0.006134969325153374,8049.0,1304.0,84.0,8.0
Angola,3,0.2857142857142857,7.0,7.0,2.0,2.0
Angola,4,0.0,27.0,20.0,2.0,0.0
Angola,5,0.03389830508474576,86.0,59.0,4.0,2.0
Angola,6,0.045454545454545456,284.0,198.0,13.0,9.0
Angola,7,0.04513888888888889,1148.0,864.0,52.0,39.0
Angola,8,0.03718459495351926,2654.0,1506.0,108.0,56.0
Angola,9,0.032355478861087146,4972.0,2318.0,183.0,75.0
Angola,10,0.01731527515858049,10805.0,5833.0,284.0,101.0
Angola,11,0.014766958929395477,15139.0,4334.0,348.0,64.0
Angola,12,0.023612261806130904,17553.0,2414.0,405.0,57.0
Antigua and Barbuda,3,0.0,7.0,7.0,0.0,0.0
Antigua and Barbuda,4,0.17647058823529413,24.0,17.0,3.0,3.0
Antigua and Barbuda,5,0.0,26.0,2.0,3.0,0.0
Antigua and Barbuda,6,0.0,69.0,43.0,3.0,0.0
Antigua and Barbuda,7,0.0,91.0,22.0,3.0,0.0
Antigua and Barbuda,8,0.0,94.0,3.0,3.0,0.0
Antigua and Barbuda,9,0.0,101.0,7.0,3.0,0.0
Antigua and Barbuda,10,0.0,128.0,27.0,3.0,0.0
Antigua and Barbuda,11,0.07692307692307693,141.0,13.0,4.0,1.0
Antigua and Barbuda,12,0.05555555555555555,159.0,18.0,5.0,1.0
Argentina,1,0.0,0.0,0.0,0.0,0.0
Argentina,2,0.0,0.0,0.0,0.0,0.0
Argentina,3,0.025616698292220113,1054.0,1054.0,27.0,27.0
Argentina,4,0.056609365737996444,4428.0,3374.0,218.0,191.0
Argentina,5,0.025839169282781935,16851.0,12423.0,539.0,321.0
Argentina,6,0.01610772038004153,64530.0,47679.0,1307.0,768.0
Argentina,7,0.01763796421922822,191302.0,126772.0,3543.0,2236.0
Argentina,8,0.02259829618474339,417735.0,226433.0,8660.0,5117.0
Argentina,9,0.02483601687540883,751001.0,333266.0,16937.0,8277.0
Argentina,10,0.03381635543117356,1166924.0,415923.0,31002.0,14065.0
Argentina,11,0.02999895189997244,1424533.0,257609.0,38730.0,7728.0
Argentina,12,0.022464810106427972,1625514.0,200981.0,43245.0,4515.0
Armenia,3,0.005639097744360902,532.0,532.0,3.0,3.0
Armenia,4,0.018904823989569754,2066.0,1534.0,32.0,29.0
Armenia,5,0.013719512195121951,9282.0,7216.0,131.0,99.0
Armenia,6,0.01918819188191882,25542.0,16260.0,443.0,312.0
Armenia,7,0.022678351783517837,38550.0,13008.0,738.0,295.0
Armenia,8,0.026954693175301088,43781.0,5231.0,879.0,141.0
Armenia,9,0.012161751292186074,50359.0,6578.0,959.0,80.0
Armenia,10,0.00968216150453693,89813.0,39454.0,1341.0,382.0
Armenia,11,0.018163359890534306,135124.0,45311.0,2164.0,823.0
Armenia,12,0.027136092238007,159409.0,24285.0,2823.0,659.0
Asia,1,0.021000750026786672,9889.0,9333.0,213.0,196.0
Asia,2,0.03644810445476832,83720.0,73831.0,2904.0,2691.0
Asia,3,0.04440107855171907,179033.0,95313.0,7136.0,4232.0
Asia,4,0.03383723616753088,520964.0,341931.0,18706.0,11570.0
Asia,5,0.019625647848705272,1138778.0,617814.0,30831.0,12125.0
Asia,6,0.02242062505465413,2305204.0,1166426.0,56983.0,26152.0
Asia,7,0.01995817836865507,4296518.0,1991314.0,96726.0,39743.0
Asia,8,0.01628510956537665,7113877.0,2817359.0,142607.0,45881.0
Asia,9,0.014771672034560817,10668654.0,3554777.0,195117.0,52510.0
Asia,10,0.015827783109042662,13714627.0,3045973.0,243328.0,48211.0
Asia,11,0.015872076904150312,16791288.0,3076661.0,292161.0,48833.0
Asia,12,0.014689384013888546,20695037.0,3080524.0,337412.0,45251.0
Australia,1,0.0,9.0,9.0,0.0,0.0
Australia,2,0.0,25.0,16.0,0.0,0.0
Australia,3,0.003970004411116012,4559.0,4534.0,18.0,18.0
Australia,4,0.03398278205709107,6766.0,2207.0,93.0,75.0
Australia,5,0.022935779816513763,7202.0,436.0,103.0,10.0
Australia,6,0.001392757660167131,7920.0,718.0,104.0,1.0
Australia,7,0.010363247863247863,17280.0,9360.0,201.0,97.0
Australia,8,0.05340203770933365,25819.0,8539.0,657.0,456.0
Australia,9,0.18089271730618636,27096.0,1277.0,888.0,231.0
Australia,10,0.03807615230460922,27595.0,499.0,907.0,19.0
Australia,11,0.0031545741324921135,27912.0,317.0,908.0,1.0
Australia,12,0.001949317738791423,28425.0,513.0,909.0,1.0
Austria,2,0.0,9.0,9.0,0.0,0.0
Austria,3,0.012584799921345001,10180.0,10171.0,128.0,128.0
Austria,4,0.08649468892261002,15452.0,5272.0,584.0,456.0
Austria,5,0.0656763096168882,16731.0,1279.0,668.0,84.0
Austria,6,0.035748792270531404,17766.0,1035.0,705.0,37.0
Austria,7,0.0038644470868014267,21130.0,3364.0,718.0,13.0
Austria,8,0.0023779327837666455,27438.0,6308.0,733.0,15.0
Austria,9,0.003798561151079137,44813.0,17375.0,799.0,66.0
Austria,10,0.005157040191642268,104925.0,60112.0,1109.0,310.0
Austria,11,0.011688099543178374,282456.0,177531.0,3184.0,2075.0
Austria,12,0.03877027527150678,360815.0,78359.0,6222.0,3038.0
Azerbaijan,3,0.016778523489932886,298.0,298.0,5.0,5.0
Azerbaijan,4,0.012616201859229747,1804.0,1506.0,24.0,19.0
Azerbaijan,5,0.01056910569105691,5494.0,3690.0,63.0,39.0
Azerbaijan,6,0.012468827930174564,17524.0,12030.0,213.0,150.0
Azerbaijan,7,0.01637174306813432,31878.0,14354.0,448.0,235.0
Azerbaijan,8,0.018872064955014263,36435.0,4557.0,534.0,86.0
Azerbaijan,9,0.015023721665788086,40229.0,3794.0,591.0,57.0
Azerbaijan,10,0.009242021276595744,55269.0,15040.0,730.0,139.0
Azerbaijan,11,0.010044456582760557,121176.0,65907.0,1392.0,662.0
Azerbaijan,12,0.01280710389237521,218700.0,97524.0,2641.0,1249.0
Bahamas,3,0.0,14.0,14.0,0.0,0.0
Bahamas,4,0.16417910447761194,81.0,67.0,11.0,11.0
Bahamas,5,0.0,102.0,21.0,11.0,0.0
Bahamas,6,0.0,104.0,2.0,11.0,0.0
Bahamas,7,0.006382978723404255,574.0,470.0,14.0,3.0
Bahamas,8,0.021911138161898967,2217.0,1643.0,50.0,36.0
Bahamas,9,0.024134312696747113,4123.0,1906.0,96.0,46.0
Bahamas,10,0.018525665766113468,6714.0,2591.0,144.0,48.0
Bahamas,11,0.022974607013301087,7541.0,827.0,163.0,19.0
Bahamas,12,0.021212121212121213,7871.0,330.0,170.0,7.0
Bahrain,2,0.0,41.0,41.0,0.0,0.0
Bahrain,3,0.0076045627376425855,567.0,526.0,4.0,4.0
Bahrain,4,0.0016174686615446825,3040.0,2473.0,8.0,4.0
Bahrain,5,0.001316104331179708,11398.0,8358.0,19.0,11.0
Bahrain,6,0.004427083333333333,26758.0,15360.0,87.0,68.0
Bahrain,7,0.00421822272215973,40982.0,14224.0,147.0,60.0
Bahrain,8,0.003912647861692447,51972.0,10990.0,190.0,43.0
Bahrain,9,0.00322887994918484,70864.0,18892.0,251.0,61.0
Bahrain,10,0.006492904183285409,81645.0,10781.0,321.0,70.0
Bahrain,11,0.003765769158350593,86956.0,5311.0,341.0,20.0
Bahrain,12,0.0019234131841230984,92675.0,5719.0,352.0,11.0
Bangladesh,3,0.09803921568627451,51.0,51.0,5.0,5.0
Bangladesh,4,0.021402310924369748,7667.0,7616.0,168.0,163.0
Bangladesh,5,0.012206858126931064,47153.0,39486.0,650.0,482.0
Bangladesh,6,0.01217329400996644,145483.0,98330.0,1847.0,1197.0
Bangladesh,7,0.013712599535680966,237661.0,92178.0,3111.0,1264.0
Bangladesh,8,0.015530629853321829,312996.0,75335.0,4281.0,1170.0
Bangladesh,9,0.019214389002238378,363479.0,50483.0,5251.0,970.0
Bangladesh,10,0.015201900237529691,407684.0,44205.0,5923.0,672.0
Bangladesh,11,0.012594326439351593,464932.0,57248.0,6644.0,721.0
Bangladesh,12,0.0188356869364733,513510.0,48578.0,7559.0,915.0
Barbados,3,0.0,34.0,34.0,0.0,0.0
Barbados,4,0.14893617021276595,81.0,47.0,7.0,7.0
Barbados,5,0.0,92.0,11.0,7.0,0.0
Barbados,6,0.0,97.0,5.0,7.0,0.0
Barbados,7,0.0,110.0,13.0,7.0,0.0
Barbados,8,0.0,174.0,64.0,7.0,0.0
Barbados,9,0.0,190.0,16.0,7.0,0.0
Barbados,10,0.0,237.0,47.0,7.0,0.0
Barbados,11,0.0,276.0,39.0,7.0,0.0
Barbados,12,0.0,383.0,107.0,7.0,0.0
Belarus,2,0.0,1.0,1.0,0.0,0.0
Belarus,3,0.006622516556291391,152.0,151.0,1.0,1.0
Belarus,4,0.006342342342342342,14027.0,13875.0,89.0,88.0
Belarus,5,0.005117599635458656,42556.0,28529.0,235.0,146.0
Belarus,6,0.008025764236785604,62118.0,19562.0,392.0,157.0
Belarus,7,0.029349736379613356,67808.0,5690.0,559.0,167.0
Belarus,8,0.03023543990086741,71843.0,4035.0,681.0,122.0
Belarus,9,0.022392457277548614,78631.0,6788.0,833.0,152.0
Belarus,10,0.007405168505364969,98482.0,19851.0,980.0,147.0
Belarus,11,0.004663959124852614,136647.0,38165.0,1158.0,178.0
Belarus,12,0.004615091000572549,194284.0,57637.0,1424.0,266.0
Belgium,2,0.0,1.0,1.0,0.0,0.0
Belgium,3,0.05519023015500235,12775.0,12774.0,705.0,705.0
